City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
cape town,ZA,-33.9258,18.4232,63.27,55,100,5.01,1627395015
pirot,RS,43.1531,22.5861,97.99,38,0,4.0,1627395288
erzin,TR,36.9559,36.2,99.12,50,0,11.68,1627395289
sayyan,YE,15.1718,44.3244,73.9,35,100,8.57,1627395290
ondangwa,NA,-17.9167,15.95,76.51,16,0,8.28,1627395006
ixtapa,MX,20.7,-105.2,83.23,83,40,3.44,1627395292
casper,US,42.8666,-106.3131,79.39,22,1,8.05,1627395293
axim,GH,4.8699,-2.2405,81.36,63,100,9.62,1627395294
kamarion,GR,36.8,25.8167,83.62,78,0,23.69,1627395296
ancud,CL,-41.8697,-73.8203,40.53,75,83,4.9,1627395297
jega,NG,12.2175,4.3792,82.47,66,100,14.34,1627395298
san vicente,AR,-26.6167,-54.1333,46.08,95,100,6.67,1627395300
mitsamiouli,KM,-11.3847,43.2844,76.06,72,20,14.38,1627395301
macas,EC,-2.3167,-78.1167,70.79,77,99,0.89,1627395303
kapustin yar,RU,48.5831,45.7372,86.63,19,100,10.36,1627395304
cordoba,AR,-31.4135,-64.1811,54.45,15,0,10.36,1627395070
hithadhoo,MV,-0.6,73.0833,81.16,78,94,6.42,1627395307
louth,GB,53.3666,-0.0044,72.86,64,75,9.22,1627395307
conde,BR,-7.2597,-34.9075,81.86,74,75,14.97,1627395308
plouzane,FR,48.3833,-4.6167,71.62,70,75,12.66,1627395309
vaini,TO,-21.2,-175.2,66.36,94,75,6.91,1627395311
broken hill,AU,-31.95,141.4333,64.24,25,35,32.28,1627395312
colinas,BR,-6.0258,-44.2492,92.25,32,5,7.23,1627395313
lichinga,MZ,-13.3128,35.2406,66.31,28,4,6.51,1627395314
paysandu,UY,-32.3214,-58.0756,48.6,44,0,15.95,1627395191
bracebridge,CA,45.0334,-79.3163,64.87,100,75,8.05,1627395316
hua hin,TH,12.5707,99.9588,85.89,73,100,12.53,1627395317
salinas,US,36.6777,-121.6555,66.72,83,1,0.0,1627395317
lagoa,PT,39.05,-27.9833,71.24,89,100,11.54,1627395318
abu samrah,SY,35.3029,37.1841,99.16,19,0,19.26,1627395319
point fortin,TT,10.1833,-61.6833,83.14,81,92,7.31,1627395320
lasa,IT,46.6166,10.7002,71.51,65,51,6.73,1627395322
ushuaia,AR,-54.8,-68.3,35.26,87,90,6.91,1627395323
beyneu,KZ,45.3167,55.2,88.54,13,50,14.72,1627395325
nemuro,JP,43.3236,145.575,62.47,100,100,4.07,1627395260
bima,ID,-8.4667,118.7167,71.78,83,52,4.23,1627395326
saldanha,ZA,-33.0117,17.9442,60.85,81,100,17.83,1627395326
san ramon,US,37.7799,-121.978,66.13,75,1,0.0,1627395328
victoria,HK,22.2855,114.1577,87.78,82,78,1.01,1627395268
san quintin,MX,30.4833,-115.95,67.84,88,8,8.12,1627395329
cassilandia,BR,-19.1133,-51.7342,87.78,22,5,7.92,1627395330
banjar,ID,-8.19,114.9675,78.66,89,37,5.44,1627395332
faanui,PF,-16.4833,-151.75,77.5,76,46,7.63,1627395332
khasan,RU,42.4308,130.6434,73.11,89,7,3.0,1627395334
vila,PT,42.0304,-8.1588,72.7,54,46,7.38,1627395334
sitka,US,57.0531,-135.33,57.09,82,75,0.0,1627395335
cockburn town,TC,21.4612,-71.1419,82.29,80,84,20.22,1627395337
mantua,IT,45.1667,10.7833,82.44,55,53,6.8,1627395338
meulaboh,ID,4.1363,96.1285,79.79,84,40,5.19,1627395339
opuwo,NA,-18.0607,13.84,77.5,17,0,8.93,1627395339
tezu,IN,27.9167,96.1667,78.8,90,100,3.6,1627395341
mahebourg,MU,-20.4081,57.7,69.26,83,75,10.36,1627395341
rudsar,IR,37.1376,50.288,87.85,60,0,5.97,1627395343
sobolevo,RU,54.4299,31.8996,74.26,51,99,7.7,1627395344
jumla,NP,29.2747,82.1838,66.85,97,95,3.44,1627395345
san patricio,US,28.017,-97.5169,84.06,74,3,4.12,1627395345
enumclaw,US,47.2043,-121.9915,62.98,92,16,0.85,1627395346
davila,PH,18.4726,120.5763,82.44,86,100,21.85,1627395347
sehithwa,BW,-20.4667,22.7167,71.53,21,0,6.2,1627395347
hirara,JP,24.8,125.2833,82.04,89,100,11.25,1627395349
necochea,AR,-38.5473,-58.7368,45.03,66,79,30.44,1627395349
mattru,SL,7.6244,-11.8332,77.68,90,94,6.22,1627395351
kavieng,PG,-2.5744,150.7967,82.87,75,90,13.22,1627395352
georgetown,MY,5.4112,100.3354,85.89,79,20,2.3,1627395313
ushi,AM,40.3487,44.3725,93.9,31,65,6.91,1627395354
kansanshi,ZM,-12.0951,26.4273,70.21,25,96,8.9,1627395355
marawi,PH,7.9986,124.2928,71.42,86,100,7.09,1627395357
ende,ID,-8.8432,121.6623,74.21,79,15,2.84,1627395357
mount pleasant,US,32.7941,-79.8626,87.98,85,75,1.01,1627395357
tasiilaq,GL,65.6145,-37.6368,44.76,85,39,4.23,1627395358
port blair,IN,11.6667,92.75,82.69,86,84,19.08,1627395360
mackay,AU,-21.15,149.2,59.04,80,54,3.74,1627395103
bredasdorp,ZA,-34.5322,20.0403,67.32,42,4,18.41,1627395360
aguas vermelhas,BR,-15.7472,-41.46,79.68,38,4,4.05,1627395362
hermanus,ZA,-34.4187,19.2345,66.79,71,28,25.9,1627395363
tukrah,LY,32.5341,20.5791,83.3,56,0,14.14,1627395366
hamilton,US,39.1834,-84.5333,81.64,69,1,0.0,1627395367
manado,ID,1.487,124.8455,77.77,83,20,2.3,1627395113
wajima,JP,37.4,136.9,76.21,85,60,3.8,1627395368
vyazemskiy,RU,47.5378,134.7525,79.93,61,90,2.44,1627395369
tulun,RU,54.5611,100.5792,69.89,73,84,8.72,1627395369
tafresh,IR,34.692,50.013,88.03,14,0,11.7,1627395370
salinopolis,BR,-0.6136,-47.3561,85.08,63,46,8.9,1627395372
placido de castro,BR,-10.3353,-67.1856,89.55,44,39,2.39,1627395374
port macquarie,AU,-31.4333,152.9167,47.37,100,9,4.61,1627395363
bambous virieux,MU,-20.3428,57.7575,69.22,83,75,10.36,1627395375
port alfred,ZA,-33.5906,26.891,78.01,28,0,21.27,1627395377
tuatapere,NZ,-46.1333,167.6833,46.81,87,100,3.06,1627395378
ambilobe,MG,-13.2,49.05,78.64,57,63,4.54,1627395379
buin,CL,-33.7333,-70.75,52.74,37,2,2.57,1627395380
prince rupert,CA,54.3161,-130.3201,55.09,91,90,4.61,1627395382
katsuura,JP,35.1333,140.3,83.1,76,58,7.23,1627395089
palaikastron,GR,35.2,26.25,80.55,64,0,17.36,1627395383
hambantota,LK,6.1241,81.1185,81.12,80,85,20.04,1627395385
hobart,AU,-42.8794,147.3294,57.25,58,40,8.01,1627395093
chifeng,CN,42.2683,118.9636,69.33,87,79,1.99,1627395385
iquitos,PE,-3.7481,-73.2472,82.44,78,40,6.91,1627395385
noumea,NC,-22.2763,166.4572,60.78,69,1,8.05,1627395387
portland,US,45.5234,-122.6762,64.98,84,75,1.01,1627395387
abnub,EG,27.2696,31.1511,100.99,16,0,15.01,1627395388
kimbe,PG,-5.5502,150.1429,75.67,93,28,4.41,1627395389
lewisville,US,33.0462,-96.9942,88.18,66,1,5.75,1627395391
touros,BR,-5.1989,-35.4608,83.3,61,22,17.13,1627395392
saint george,US,37.1041,-113.5841,78.53,85,1,4.0,1627395394
pacific grove,US,36.6177,-121.9166,66.31,91,1,1.01,1627395395
jacareacanga,BR,-6.2222,-57.7528,90.25,32,100,3.04,1627395150
bouar,CF,5.934,15.596,73.72,85,87,5.75,1627395333
cleethorpes,GB,53.5605,-0.0323,72.36,64,75,9.22,1627395396
usolye,RU,59.4268,56.6808,54.21,60,95,8.12,1627395397
makakilo city,US,21.3469,-158.0858,75.56,68,1,4.61,1627395399
morehead,US,37.2711,-87.1764,83.1,82,1,0.0,1627395400
labuhan,ID,-6.8844,112.2051,77.63,74,37,7.2,1627395401
butaritari,KI,3.0707,172.7902,81.68,75,100,9.6,1627395401
margate,GB,51.3813,1.3862,71.69,74,100,4.0,1627395404
george,ZA,-33.963,22.4617,56.75,88,75,9.22,1627395405
punta arenas,CL,-53.15,-70.9167,41.11,87,75,3.44,1627395406
carupano,VE,10.6678,-63.2585,82.85,73,11,9.28,1627395289
faya,SA,18.3851,42.4509,69.91,66,98,11.9,1627395408
lebu,CL,-37.6167,-73.65,45.95,70,0,21.9,1627395409
leirvik,NO,59.7798,5.5005,66.61,91,100,6.33,1627395411
olinda,BR,-8.0089,-34.8553,78.53,73,40,6.91,1627395412
karratha,AU,-20.7377,116.8463,72.23,79,10,10.69,1627395413
abong mbang,CM,3.9833,13.1833,79.74,58,92,4.47,1627395414
mar del plata,AR,-38.0023,-57.5575,46.09,48,20,13.0,1627395416
juquitiba,BR,-23.9317,-47.0683,78.53,32,1,12.33,1627395417
jiazi,CN,22.8779,116.067,85.86,80,94,13.09,1627395418
saint marys,US,30.7305,-81.5465,87.04,92,90,3.0,1627395419
nanortalik,GL,60.1432,-45.2371,45.88,78,100,1.1,1627395420
chuy,UY,-33.6971,-53.4616,45.9,54,0,16.62,1627395421
hualmay,PE,-11.0964,-77.6139,65.39,81,54,5.06,1627395423
san jose de guanipa,VE,8.8872,-64.1651,80.94,72,82,9.24,1627395424
tres lagoas,BR,-20.7511,-51.6783,88.25,22,0,10.0,1627395425
coquimbo,CL,-29.9533,-71.3436,53.33,62,0,4.61,1627395427
kirakira,SB,-10.4544,161.9205,78.37,84,48,8.77,1627395428
hovd,MN,48.0056,91.6419,71.87,47,96,7.83,1627395429
ahuimanu,US,21.4447,-157.8378,76.75,73,40,6.91,1627395429
posadas,AR,-27.3671,-55.8961,51.78,76,75,13.8,1627395430
lazo,RU,43.3817,133.9014,71.98,97,79,0.98,1627395432
tessalit,ML,20.1986,1.0114,103.86,19,13,5.91,1627395432
teknaf,BD,20.8624,92.3058,80.13,91,100,15.95,1627395433
guiratinga,BR,-16.3494,-53.7583,86.25,26,10,7.07,1627395434
namibe,AO,-15.1961,12.1522,75.96,53,0,10.69,1627395435
morant bay,JM,17.8815,-76.4093,84.61,72,100,9.31,1627395437
jalu,LY,29.0331,21.5482,99.25,17,0,8.05,1627395438
cidreira,BR,-30.1811,-50.2056,54.28,70,73,18.95,1627395439
luderitz,NA,-26.6481,15.1594,66.51,53,0,11.7,1627395440
gat,IL,31.61,34.7642,91.4,42,0,14.56,1627395442
yazoo city,US,32.8551,-90.4056,85.69,75,5,2.26,1627395443
balakhninskiy,RU,58.0106,114.2769,65.77,69,0,4.97,1627395444
constitucion,CL,-35.3333,-72.4167,46.17,57,0,8.86,1627395445
agvali,RU,42.5385,46.1197,67.37,98,100,4.65,1627395447
rocha,UY,-34.4833,-54.3333,45.91,58,6,18.57,1627395201
rock sound,BS,24.9,-76.2,82.72,75,4,5.48,1627395448
kavaratti,IN,10.5669,72.642,81.95,81,100,19.33,1627395449
vila franca do campo,PT,37.7167,-25.4333,75.61,74,66,6.78,1627395450
thunder bay,CA,48.4001,-89.3168,70.56,92,1,3.44,1627395451
pochutla,MX,15.7432,-96.4661,79.83,82,100,3.22,1627395452
netrakona,BD,24.8833,90.7167,83.52,84,100,8.43,1627395453
bluff,NZ,-46.6,168.3333,46.8,81,95,16.26,1627395453
ambon,ID,-3.6954,128.1814,77.14,100,40,5.75,1627395327
codrington,AU,-38.2667,141.9667,54.21,90,91,24.14,1627395454
sarila,IN,25.7667,79.6833,78.96,95,100,15.79,1627395454
umm kaddadah,SD,13.6017,26.6876,87.91,45,69,9.08,1627395454
pangai,TO,-19.8,-174.35,75.0,75,79,14.58,1627395456
alihe,CN,50.5667,123.7167,62.44,99,100,3.51,1627395457
mecca,SA,21.4267,39.8261,98.26,31,96,12.66,1627395358
sumbe,AO,-11.2061,13.8437,76.21,73,69,10.04,1627395458
balkhash,KZ,46.844,74.9804,77.47,33,0,7.72,1627395459
sola,VU,-13.8833,167.55,79.95,77,85,19.93,1627395460
rio verde de mato grosso,BR,-18.9181,-54.8442,85.1,28,21,10.22,1627395460
troitskoye,RU,52.9821,84.6757,63.54,57,64,7.67,1627395462
te anau,NZ,-45.4167,167.7167,45.86,92,100,5.14,1627395463
kaliningrad,RU,54.7065,20.511,77.05,48,21,10.0,1627395215
mehriz,IR,31.5917,54.4318,95.5,14,8,20.2,1627395464
kaitong,CN,44.8135,123.15,76.95,66,100,5.5,1627395465
storm lake,US,42.6411,-95.2097,78.49,88,1,11.5,1627395465
ulladulla,AU,-35.35,150.4667,54.88,63,100,11.1,1627395466
moramanga,MG,-18.9333,48.2,60.75,68,81,5.12,1627395467
seoul,KR,37.5683,126.9778,81.88,67,67,2.95,1627395231
urumqi,CN,43.801,87.6005,92.35,20,0,6.71,1627395468
regidor,CO,8.6657,-73.8215,78.84,86,100,0.29,1627395468
naze,JP,28.3667,129.4833,76.53,88,100,12.24,1627395325
tukan,RU,53.8409,57.4552,61.95,57,88,4.61,1627395469
yulara,AU,-25.2406,130.9889,67.84,30,75,6.91,1627395471
cabra,ES,37.4725,-4.4421,96.24,32,0,1.99,1627395397
bubaque,GW,11.2833,-15.8333,80.82,78,13,5.48,1627395472
oktyabrskoye,RU,43.0645,44.7417,62.74,100,90,6.71,1627395473
laguna,US,38.421,-121.4238,78.44,50,1,1.01,1627395474
puerto madryn,AR,-42.7692,-65.0385,43.92,64,21,27.07,1627395475
gardabani,GE,41.4605,45.0928,78.89,42,9,22.95,1627395477
saint anthony,US,45.0205,-93.218,81.79,69,20,1.01,1627395478
new norfolk,AU,-42.7826,147.0587,56.91,57,100,5.01,1627395479
vawkavysk,BY,53.1561,24.4513,76.69,70,85,8.23,1627395480
sao joao da barra,BR,-21.6403,-41.0511,80.69,54,0,10.25,1627395481
cabo san lucas,MX,22.8909,-109.9124,85.8,69,9,10.45,1627395483
mon,IN,26.75,95.1,74.19,96,91,3.31,1627395484
mangan,IN,27.5167,88.5333,79.23,91,100,1.21,1627395484
oktyabrskiy,RU,54.4815,53.471,73.54,45,81,14.54,1627395484
coihueco,CL,-36.6167,-71.8333,39.94,81,0,11.5,1627395485
maple creek,CA,49.9168,-109.4848,77.41,36,56,5.75,1627395487
zafra,ES,38.4167,-6.4167,93.33,19,0,7.96,1627395488
ryotsu,JP,38.0833,138.4333,75.04,90,24,1.7,1627395489
luba,GQ,3.4568,8.5547,78.85,75,55,8.01,1627395229
gasa,PS,31.5,34.4667,89.91,54,0,13.4,1627395489
wawa,NG,9.9022,4.4192,72.52,92,100,7.0,1627395491
taoudenni,ML,22.6783,-3.9836,114.85,4,6,2.66,1627395333
semey,KZ,50.4111,80.2275,71.82,35,0,11.18,1627395492
hailar,CN,49.2,119.7,60.64,94,8,3.91,1627395325
san cristobal,VE,7.7669,-72.225,71.78,99,100,2.93,1627395493
elizabeth city,US,36.2946,-76.2511,82.45,87,1,8.05,1627395494
cuiluan,CN,47.72,128.648,72.14,91,2,3.89,1627395495
ulaanbaatar,MN,47.9077,106.8832,60.93,63,0,2.24,1627395478
cayenne,GF,4.9333,-52.3333,87.84,78,75,3.0,1627395495
mount gambier,AU,-37.8333,140.7667,57.11,77,75,19.57,1627395497
sioux lookout,CA,50.1001,-91.917,66.27,72,1,0.0,1627395497
sao miguel do tapuio,BR,-5.5036,-41.3233,92.7,30,4,7.81,1627395498
katyuzhanka,UA,50.806,30.1376,88.02,44,100,7.07,1627395500
praia,CV,14.9215,-23.5087,82.94,65,40,11.5,1627395501
takoradi,GH,4.8845,-1.7554,80.78,64,100,10.69,1627395449
nouadhibou,MR,20.931,-17.0347,75.18,73,0,20.71,1627395502
houma,US,29.5958,-90.7195,87.8,85,1,5.75,1627395504
rio cuarto,AR,-33.1307,-64.3499,45.84,25,0,20.6,1627395505
bourail,NC,-21.5667,165.4833,62.47,77,0,3.44,1627395506
fukue,JP,32.6881,128.8419,79.05,85,0,9.89,1627395468
vostok,RU,46.4856,135.8833,73.8,77,99,3.53,1627395507
ahipara,NZ,-35.1667,173.1667,54.81,74,3,11.81,1627395507
sambava,MG,-14.2667,50.1667,73.71,70,13,15.57,1627395508
kars,TR,40.602,43.095,77.45,44,75,16.11,1627395509
acheng,CN,45.5454,126.977,80.53,84,1,2.3,1627395511
valparaiso,CL,-33.0393,-71.6273,55.63,70,0,8.05,1627395511
kokoda,PG,-8.8785,147.7407,74.7,96,94,0.27,1627395512
bonavista,CA,48.6499,-53.1147,62.6,97,94,16.53,1627395512
honiara,SB,-9.4333,159.95,78.04,89,100,7.02,1627395514
ziro,IN,27.6333,93.8333,68.74,97,89,1.99,1627395514
bulgan,MN,48.8125,103.5347,60.75,68,72,1.32,1627395515
corralillo,CU,22.9819,-80.5856,82.83,72,17,3.74,1627395515
lorengau,PG,-2.0226,147.2712,82.51,75,29,8.19,1627395516
bongandanga,CD,1.5,21.05,94.3,24,64,4.32,1627395516
rudnyy,KZ,52.9594,63.1206,75.43,44,42,7.38,1627395517
jamame,SO,0.0722,42.7506,78.73,68,83,19.26,1627395519
zhanaozen,KZ,43.3,52.8,92.71,18,0,26.53,1627395521
oistins,BB,13.0667,-59.5333,86.09,70,40,13.8,1627395522
bengkulu,ID,-3.8004,102.2655,77.72,80,1,6.89,1627395523
waitati,NZ,-45.75,170.5667,47.8,62,23,4.65,1627395524
cururupu,BR,-1.8283,-44.8683,86.86,54,24,5.66,1627395346
tocopilla,CL,-22.092,-70.1979,63.86,60,4,8.32,1627395524
zhangye,CN,38.9342,100.4517,80.71,21,100,10.16,1627395526
shelburne,CA,44.0787,-80.2041,64.8,97,100,7.85,1627395526
porto tolle,IT,44.9497,12.3245,86.09,54,50,11.39,1627395527
warmbad,NA,-28.45,18.7333,76.78,17,0,19.13,1627395528
wajir,KE,1.7471,40.0573,84.25,40,100,20.04,1627395530
moshenskoye,RU,58.5102,34.5911,82.4,33,43,1.74,1627395531
vanimo,PG,-2.6741,141.3028,78.82,90,72,6.58,1627395532
palmer,US,42.1584,-72.3287,83.32,55,20,3.44,1627395394
itoman,JP,26.1247,127.6694,82.42,89,40,10.36,1627395533
almeria,ES,37.1667,-2.3333,90.3,35,0,10.16,1627395534
tual,ID,-5.6667,132.75,81.41,80,98,19.06,1627395535
byron bay,AU,-28.65,153.6167,60.75,80,0,10.51,1627395535
teguldet,RU,57.3064,88.1667,54.72,89,27,3.98,1627395536
inhambane,MZ,-23.865,35.3833,70.86,52,2,9.22,1627395538
alyangula,AU,-13.8483,136.4192,72.66,91,93,7.05,1627395539
lahaina,US,20.8783,-156.6825,77.81,89,65,10.22,1627395540
mayor pablo lagerenza,PY,-19.9309,-60.7718,64.4,39,95,14.16,1627395541
papetoai,PF,-17.4961,-149.8729,72.99,74,34,9.6,1627395543
san francisco,US,37.7749,-122.4194,66.87,91,75,1.01,1627395396
kollam,IN,8.8833,76.6,80.47,87,92,10.11,1627395545
jieshi,CN,22.8134,115.8257,86.95,80,88,13.82,1627395546
airai,TL,-8.9266,125.4092,56.8,84,29,2.95,1627395546
paamiut,GL,61.994,-49.6678,45.41,88,100,12.1,1627395546
grand island,US,40.925,-98.342,78.75,78,1,3.0,1627395547
santa cruz,BO,-17.8,-63.1667,69.26,39,75,33.38,1627395548
makokou,GA,0.5738,12.8642,85.21,49,98,2.35,1627395550
mayumba,GA,-3.432,10.6554,77.31,75,85,9.6,1627395551
banes,CU,20.9625,-75.7186,83.01,74,94,9.33,1627395553
marystown,CA,47.1666,-55.1483,65.86,100,100,10.69,1627395554
duldurga,RU,50.6761,113.5931,58.41,90,39,3.29,1627395555
kadyy,RU,57.787,43.1903,74.28,41,19,8.79,1627395555
dickinson,US,29.4608,-95.0513,85.19,80,75,8.05,1627395557
coihaique,CL,-45.5752,-72.0662,39.15,75,75,2.3,1627395557
notre-dame-du-lac,CA,47.6136,-68.7964,64.26,55,90,11.48,1627395560
port hawkesbury,CA,45.6169,-61.3485,75.58,89,90,1.99,1627395561
jiaozuo,CN,35.2397,113.2331,76.95,94,12,4.68,1627395562
at-bashi,KG,41.1702,75.8106,74.19,48,87,5.44,1627395562
consolacion del sur,CU,22.5047,-83.5136,82.94,71,22,4.41,1627395562
presidencia roque saenz pena,AR,-26.7852,-60.4388,57.27,22,3,13.44,1627395563
buraydah,SA,26.326,43.975,115.25,8,9,19.33,1627395565
dabola,GN,10.75,-11.1167,85.14,65,98,2.46,1627395333
birjand,IR,32.8663,59.2211,90.07,12,0,23.02,1627395566
huarmey,PE,-10.0681,-78.1522,67.15,80,38,6.53,1627395464
manggar,ID,-2.8833,108.2667,81.73,69,93,11.43,1627395568
thompson,CA,55.7435,-97.8558,64.56,63,40,5.75,1627395568
rudbar,AF,30.15,62.6,109.29,10,96,14.5,1627395569
xuddur,SO,4.1213,43.8894,79.72,53,100,21.21,1627395570
fiche,ET,9.8,38.7333,60.73,68,94,4.32,1627395572
nanakuli,US,21.3906,-158.1547,76.98,65,1,4.61,1627395573
haines junction,CA,60.7522,-137.5108,48.15,93,98,2.3,1627395575
kaitangata,NZ,-46.2817,169.8464,42.93,70,90,5.93,1627395576
millinocket,US,45.6573,-68.7098,75.9,64,1,5.75,1627395577
krasnoyarka,RU,55.3333,73.1167,66.15,48,96,4.29,1627395578
kilmallock,IE,52.4,-8.5772,66.88,70,99,7.0,1627395579
shetpe,KZ,44.1667,52.1167,84.88,23,53,22.08,1627395581
bathsheba,BB,13.2167,-59.5167,86.61,70,40,13.8,1627395582
acari,PE,-15.4311,-74.6158,67.48,66,56,5.01,1627395583
lompoc,US,34.6391,-120.4579,62.56,92,90,0.0,1627395584
la ronge,CA,55.1001,-105.2842,64.65,68,90,3.44,1627395585
morondava,MG,-20.2833,44.2833,75.27,58,6,17.6,1627395586
samarai,PG,-10.6167,150.6667,78.3,86,94,11.45,1627395588
krasnaya gorka,RU,55.1962,56.6673,63.03,84,72,5.55,1627395588
boundiali,CI,9.5217,-6.4869,81.75,69,100,6.2,1627395589
alice springs,AU,-23.7,133.8833,74.75,27,75,9.22,1627395307
shumskiy,RU,54.8318,99.1328,65.7,88,100,5.77,1627395591
tyup,KG,42.7276,78.3648,72.37,51,61,6.49,1627395593
kalabo,ZM,-14.97,22.6814,77.86,16,5,8.5,1627395593
mullingar,IE,53.5333,-7.35,62.76,95,100,10.0,1627395595
kargasok,RU,59.0556,80.8572,59.81,61,100,6.51,1627395596
